Model,Model_Code,RMSE_mean,RMSE_sd,MAE_mean,MAE_sd,R2_mean,R2_sd,RMSE_global
Random Forest,rf,0.6029585853426671,0.028113690733514142,0.42849831398136373,0.018795510771216415,0.5347750280851946,0.039186375917539484,0.6034862484787032
XGBoost,xgb,0.627588305537097,0.024546003689828406,0.44604520201683046,0.013179358578660491,0.49606890678405763,0.036994961589249795,0.6279764825402271
LightGBM,lgb,0.6281781249503552,0.021341085609993312,0.45071761172774655,0.012461583212118144,0.4951499871454027,0.03382641538589281,0.6284734034239041
Linear Model,lm,0.7553959014583151,0.029838141438180248,0.5862143211545362,0.018153447712789875,0.27032292907019617,0.04568578252160015,0.7558687315525504
Ridge,ridge,0.7579123950125497,0.02627590855918316,0.5887115460930434,0.018865756006571126,0.2655791880350938,0.03879238335430524,0.7582761243343318
Elastic Net,enet,0.7656824112468219,0.02585035500579464,0.599409098959135,0.018607024781290452,0.25055807507434186,0.03602437978064896,0.7660295373117008
Lasso,lasso,0.7664151288647398,0.02555414299637182,0.600570124737716,0.018695192744982474,0.2491340905345963,0.035369011578264234,0.7667539108903187
Regression Tree,tree,0.7854804912796824,0.0263378475288306,0.5647498318771081,0.017671942907958434,0.21116001183505845,0.04121924263133382,0.7858315140713814
