Model,Model_Code,Accuracy_mean,Accuracy_sd,F1_mean,Precision_mean,Recall_mean,Specificity_mean
SVM Linear,svm,0.873076923076923,0.06559167816557168,0.9009150326797386,0.886984126984127,0.925,0.78
Elastic Net,enet,0.8564102564102564,0.06224883787851389,0.8856769374416433,0.886984126984127,0.9,0.78
Ridge Logistic,ridge,0.8564102564102564,0.06224883787851389,0.8856769374416433,0.886984126984127,0.9,0.78
Random Forest,rf,0.841025641025641,0.07384326027094461,0.874751584844464,0.8946608946608947,0.875,0.79
Lasso Logistic,lasso,0.8397435897435898,0.07890085657109722,0.8726797385620916,0.8806349206349207,0.875,0.78
XGBoost,xgb,0.8230769230769232,0.030608554836700816,0.8666900093370682,0.8505555555555556,0.9,0.6900000000000001
Naive Bayes,nb,0.7602564102564103,0.16074285147341003,0.7769480519480519,0.8916666666666668,0.725,0.8300000000000001
