Model,Model_Code,RMSE_mean,RMSE_sd,MAE_mean,MAE_sd,R2_mean,R2_sd,RMSE_global
Elastic Net,enet,0.189699319826959,0.035791251159062176,0.14661025631866098,0.036710226657301157,0.2631190627415957,0.5722365933405058,0.19302041354407015
Ridge Regression,ridge,0.19123932490973897,0.03656161587210201,0.15130247504469216,0.03508875300441935,0.2260758324200421,0.6454068970938462,0.19479456779949086
Lasso Regression,lasso,0.19272570547756687,0.031719513799807544,0.15021139026942357,0.03469174293638053,0.23295851339059598,0.6234110683089779,0.19529461592212075
XGBoost,xgb,0.19823776772331655,0.032619407203007,0.1513268129642193,0.03423695693401234,0.2163871872770872,0.5922374390337019,0.20058804665384083
Random Forest,rf,0.20179884896833675,0.03732747821263166,0.15577717948717767,0.032649282854914766,0.20727414327737487,0.5422802779697914,0.20500189023518597
